ItiEuropeen	route	longueur	prD	depPrD	concessionPrD	absD	xD	yD	zD	prF	depPrF	concessionPrF	absF	xF	yF	zF
E502	A0028	53613	49	37	C	26	510379,17	6730483,37	0	102	72	C	729	498201,33	6775669,82	0
E402	A0028	46063	111	72	C	0	489928,88	6776354,66	0	157	72	C	666	488360,31	6818238,69	0
E402	A0028	2821	157	72	C	666	488360,31	6818238,69	0	160	61	C	452	487881,93	6820985,91	0
E402	A0028	56729	160	61	C	452	487881,93	6820985,91	0	217	61	C	181	509429,31	6870492,78	0
E402	A0028	12770	217	61	C	181	509429,31	6870492,78	0	229	27	C	951	513215,73	6882426,08	0
E402	A0028	520	229	27	C	951	513215,73	6882426,08	0	230	14	C	471	513169,44	6882938,29	0
E402	A0028	55429	230	14	C	471	513169,44	6882938,29	0	285	27	C	900	542420,5	6920413,97	0
E44	A0029	81716	26	76	C	0	501961,63	6936351,74	0	107	76	C	716	575061,58	6951982,54	0
E44	A0029	22170	127	76	C	0	590727,91	6962809,73	0	149	76	C	170	610514,17	6965685,5	0
E44	A0029	97482	149	76	C	170	610514,17	6965685,5	0	250	80	C	252	703990,86	6970361,16	0
E44	A0029	423	250	80	C	252	703990,86	6970361,16	0	250	80	C	675	704372,67	6970515,75	0
E44	A0029	462	250	80	C	675	704372,67	6970515,75	0	251	80	C	137	704759,5	6970744,27	0
E44	A0029	751	251	80	C	137	704759,5	6970744,27	0	251	80	C	888	705430,89	6971162,49	0
E44	A0029	198	251	80	C	888	705430,89	6971162,49	0	252	80	C	86	705568,64	6971247,58	0
E44	A0029	56	252	80	C	86	705568,64	6971247,58	0	252	80	C	142	705616,95	6971276,46	0
E44	A0029	630	252	80	C	142	705616,95	6971276,46	0	252	80	C	772	706166,65	6971617,34	0
E44	A0029	11108	252	80	C	772	706166,65	6971617,34	0	263	2	C	880	716954,32	6971672,75	0
E411	A0030	26295	0	57	N	0	930859,2	6914134,52	0	26	57	N	429	911771,96	6927917,52	0
E17	A0031	83932	0	21	C	0	841968,58	6659194,99	0	83	21	C	383	863451,74	6730072,78	0
E21	A0031	83932	0	21	C	0	841968,58	6659194,99	0	83	21	C	383	863451,74	6730072,78	0
E60	A0031	5526	0	21	C	0	841968,58	6659194,99	0	5	21	C	246	844896,51	6663773,56	0
E17	A0031	1583	83	21	C	383	863451,74	6730072,78	0	84	52	C	965	863186,61	6731619,58	0
E21	A0031	1583	83	21	C	383	863451,74	6730072,78	0	84	52	C	965	863186,61	6731619,58	0
E17	A0031	448	84	52	C	965	863186,61	6731619,58	0	85	21	C	415	863185,48	6732071,92	0
E21	A0031	448	84	52	C	965	863186,61	6731619,58	0	85	21	C	415	863185,48	6732071,92	0
E17	A0031	784	85	21	C	415	863185,48	6732071,92	0	86	52	C	200	863282,12	6732855,03	0
E21	A0031	784	85	21	C	415	863185,48	6732071,92	0	86	52	C	200	863282,12	6732855,03	0
E17	A0031	584	86	52	C	200	863282,12	6732855,03	0	86	52	C	784	863431,6	6733413,45	0
E21	A0031	584	86	52	C	200	863282,12	6732855,03	0	86	52	C	784	863431,6	6733413,45	0
E17	A0031	26614	86	52	C	784	863431,6	6733413,45	0	113	52	C	402	866079,05	6758497,78	0
E21	A0031	67874	86	52	C	784	863431,6	6733413,45	0	154	52	C	736	896364,18	6779955,02	0
E54	A0031	6424	113	52	C	402	866079,05	6758497,78	0	119	52	C	900	870810,48	6761396,61	0
E21	A0031	1949	154	52	C	736	896364,18	6779955,02	0	156	88	C	685	897348,94	6781717,87	0
E21	A0031	1437	156	88	C	685	897348,94	6781717,87	0	158	52	C	122	898003,62	6782942,63	0
E21	A0031	40283	158	52	C	122	898003,62	6782942,63	0	198	88	C	405	912937,21	6815459,99	0
E21	A0031	2020	198	88	C	405	912937,21	6815459,99	0	200	54	C	425	911768,17	6817017,42	0
E21	A0031	8295	200	54	C	425	911768,17	6817017,42	0	208	88	C	720	914228,53	6824469,58	0
E21	A0031	19680	208	88	C	720	914228,53	6824469,58	0	228	54	C	400	912368,54	6843072,16	0
E21	A0031	54425	229	54	N	0	912368,54	6843072,16	0	283	54	N	1036	927342,3	6878572,37	0
E23	A0031	35923	248	54	N	0	928969,49	6848320,77	0	283	54	N	1036	927342,3	6878572,37	0
E21	A0031	18930	284	57	N	0	927342,3	6878572,37	0	302	57	N	987	930720,83	6895207,46	0
E23	A0031	18930	284	57	N	0	927342,3	6878572,37	0	302	57	N	987	930720,83	6895207,46	0
E411	A0031	17519	305	57	N	500	931653,05	6897273,46	0	322	57	N	1000	930904,29	6914329,09	0
E25	A0031	35759	313	57	N	327	931385,85	6904833,51	0	348	57	N	987	926268,72	6934824,63	0
E23	A0033	10298	0	54	N	0	929583,25	6848798,75	0	9	54	N	973	934351,88	6841210,85	0
E44	A0034	15349	17	8	N	0	837624,02	6956714,63	0	32	8	N	463	824152,46	6960908,84	0
E46	A0034	50195	17	8	N	0	837624,02	6956714,63	0	67	8	N	380	802548,76	6937229,68	0
E420	A0034	34846	32	8	N	463	824152,46	6960908,84	0	67	8	N	380	802548,76	6937229,68	0
E46	A0034	10529	100	51	N	0	783428,14	6913074,87	0	110	51	N	550	778281,6	6904485,06	0
E420	A0034	10529	100	51	N	0	783428,14	6913074,87	0	110	51	N	550	778281,6	6904485,06	0
